accident_id,date,year,month,state,district,mine_name,mine_type,accident_type,cause,severity,fatalities,injuries,description
DGMS-2016-059,2016-09-03,2016,9,Jharkhand,Ranchi,JHA-Mine-05,Iron Ore,Fire,Weather conditions,Fatal,2,2,"Fire incident at Limestone mine. Cause: Weather conditions. Location: Jharkhand, Ranchi. 2 fatalities reported. 2 injuries reported. Investigation ongoing by DGMS authorities."
DGMS-2016-023,2016-09-06,2016,9,Jharkhand,Talcher,JHA-Mine-93,Opencast Coal,Explosion,Inadequate training,Serious,0,5,"Explosion incident at Opencast Coal mine. Cause: Inadequate training. Location: Jharkhand, Sundergarh. 5 injuries reported. Investigation ongoing by DGMS authorities."
DGMS-2016-060,2016-09-21,2016,9,Assam,Talcher,ASS-Mine-73,Manganese,Explosion,Weather conditions,Minor,0,1,"Explosion incident at Iron Ore mine. Cause: Weather conditions. Location: Assam, Ranchi. 1 injuries reported. Investigation ongoing by DGMS authorities."
DGMS-2016-068,2016-09-24,2016,9,Assam,Singrauli,ASS-Mine-66,Iron Ore,Gas Emission,Methane buildup,Minor,0,0,"Gas Emission incident at Manganese mine. Cause: Methane buildup. Location: Assam, Asansol. Investigation ongoing by DGMS authorities."
DGMS-2016-072,2016-10-08,2016,10,Madhya Pradesh,Sundergarh,MAD-Mine-78,Limestone,Transport/Haulage,Poor ventilation,Fatal,1,5,"Transport/Haulage incident at Underground Coal mine. Cause: Poor ventilation. Location: Madhya Pradesh, Dhanbad. 1 fatalities reported. 5 injuries reported. Investigation ongoing by DGMS authorities."
DGMS-2016-078,2016-10-09,2016,10,Jharkhand,Korba,JHA-Mine-56,Underground Coal,Roof/Side Fall,Equipment failure,Fatal,1,0,"Roof/Side Fall incident at Iron Ore mine. Cause: Equipment failure. Location: Jharkhand, Asansol. 1 fatalities reported. Investigation ongoing by DGMS authorities."
DGMS-2016-099,2016-10-12,2016,10,Assam,Korba,ASS-Mine-38,Limestone,Inundation,Inadequate training,Minor,0,1,"Inundation incident at Underground Coal mine. Cause: Inadequate training. Location: Assam, Asansol. 1 injuries reported. Investigation ongoing by DGMS authorities."
DGMS-2016-097,2016-11-06,2016,11,Assam,Korba,ASS-Mine-08,Limestone,Gas Emission,Safety protocol violation,Minor,0,1,"Gas Emission incident at Limestone mine. Cause: Safety protocol violation. Location: Assam, Dhanbad. 1 injuries reported. Investigation ongoing by DGMS authorities."
DGMS-2016-007,2016-11-08,2016,11,Chhattisgarh,Asansol,CHH-Mine-67,Iron Ore,Electrical,Structural weakness,Serious,0,8,"Electrical incident at Underground Coal mine. Cause: Structural weakness. Location: Chhattisgarh, Talcher. 8 injuries reported. Investigation ongoing by DGMS authorities."
DGMS-2016-034,2016-12-01,2016,12,West Bengal,Ranchi,WES-Mine-19,Limestone,Electrical,Inadequate training,Serious,0,4,"Electrical incident at Opencast Coal mine. Cause: Inadequate training. Location: West Bengal, Singrauli. 4 injuries reported. Investigation ongoing by DGMS authorities."
DGMS-2016-003,2016-12-07,2016,12,Jharkhand,Singrauli,JHA-Mine-32,Manganese,Fall of Person,Equipment failure,Fatal,5,0,"Fall of Person incident at Iron Ore mine. Cause: Equipment failure. Location: Jharkhand, Sundergarh. 5 fatalities reported. Investigation ongoing by DGMS authorities."
DGMS-2016-051,2016-12-14,2016,12,Odisha,Singrauli,ODI-Mine-71,Underground Coal,Explosion,Human error,Fatal,1,3,"Explosion incident at Underground Coal mine. Cause: Human error. Location: Odisha, Singrauli. 1 fatalities reported. 3 injuries reported. Investigation ongoing by DGMS authorities."
DGMS-2016-086,2016-12-15,2016,12,Odisha,Asansol,ODI-Mine-42,Limestone,Fall of Person,Safety protocol violation,Serious,0,12,"Fall of Person incident at Underground Coal mine. Cause: Safety protocol violation. Location: Odisha, Ranchi. 12 injuries reported. Investigation ongoing by DGMS authorities."
DGMS-2016-097,2016-12-21,2016,12,Madhya Pradesh,Talcher,MAD-Mine-09,Iron Ore,Electrical,Equipment malfunction,Minor,0,0,"Electrical incident at Underground Coal mine. Cause: Equipment malfunction. Location: Madhya Pradesh, Korba. Investigation ongoing by DGMS authorities."
DGMS-2016-097,2016-12-30,2016,12,Chhattisgarh,Sundergarh,CHH-Mine-85,Limestone,Explosion,Equipment malfunction,Minor,0,2,"Explosion incident at Opencast Coal mine. Cause: Equipment malfunction. Location: Chhattisgarh, Asansol. 2 injuries reported. Investigation ongoing by DGMS authorities."
DGMS-2016-077,2016-12-30,2016,12,Chhattisgarh,Sundergarh,CHH-Mine-15,Underground Coal,Fall of Person,Inadequate support,Fatal,1,2,"Fall of Person incident at Opencast Coal mine. Cause: Inadequate support. Location: Chhattisgarh, Singrauli. 1 fatalities reported. 2 injuries reported. Investigation ongoing by DGMS authorities."
DGMS-2017-009,2017-01-26,2017,1,Chhattisgarh,Korba,CHH-Mine-07,Underground Coal,Transport/Haulage,Equipment malfunction,Minor,0,0,"Transport/Haulage incident at Opencast Coal mine. Cause: Equipment malfunction. Location: Chhattisgarh, Dhanbad. Investigation ongoing by DGMS authorities."
DGMS-2017-012,2017-01-27,2017,1,Odisha,Asansol,ODI-Mine-96,Limestone,Explosion,Safety protocol violation,Minor,0,1,"Explosion incident at Underground Coal mine. Cause: Safety protocol violation. Location: Odisha, Korba. 1 injuries reported. Investigation ongoing by DGMS authorities."
DGMS-2017-070,2017-02-01,2017,2,Madhya Pradesh,Dhanbad,MAD-Mine-64,Underground Coal,Fire,Inadequate training,Serious,0,5,"Fire incident at Underground Coal mine. Cause: Inadequate training. Location: Madhya Pradesh, Singrauli. 5 injuries reported. Investigation ongoing by DGMS authorities."
DGMS-2017-084,2017-02-23,2017,2,West Bengal,Korba,WES-Mine-15,Underground Coal,Electrical,Human error,Serious,0,3,"Electrical incident at Underground Coal mine. Cause: Human error. Location: West Bengal, Dhanbad. 3 injuries reported. Investigation ongoing by DGMS authorities."
DGMS-2017-004,2017-03-04,2017,3,Chhattisgarh,Ranchi,CHH-Mine-66,Limestone,Inundation,Methane buildup,Serious,0,8,"Inundation incident at Iron Ore mine. Cause: Methane buildup. Location: Chhattisgarh, Talcher. 8 injuries reported. Investigation ongoing by DGMS authorities."
DGMS-2017-069,2017-03-10,2017,3,Assam,Talcher,ASS-Mine-91,Iron Ore,Inundation,Inadequate support,Minor,0,1,"Inundation incident at Opencast Coal mine. Cause: Inadequate support. Location: Assam, Singrauli. 1 injuries reported. Investigation ongoing by DGMS authorities."
DGMS-2017-070,2017-03-22,2017,3,Assam,Talcher,ASS-Mine-51,Underground Coal,Roof/Side Fall,Inadequate training,Minor,0,0,"Roof/Side Fall incident at Limestone mine. Cause: Inadequate training. Location: Assam, Singrauli. Investigation ongoing by DGMS authorities."
DGMS-2017-029,2017-03-24,2017,3,Odisha,Singrauli,ODI-Mine-91,Iron Ore,Inundation,Weather conditions,Serious,0,3,"Inundation incident at Opencast Coal mine. Cause: Weather conditions. Location: Odisha, Asansol. 3 injuries reported. Investigation ongoing by DGMS authorities."
DGMS-2017-027,2017-04-04,2017,4,Assam,Singrauli,ASS-Mine-08,Iron Ore,Machinery,Structural weakness,Minor,0,1,"Machinery incident at Manganese mine. Cause: Structural weakness. Location: Assam, Sundergarh. 1 injuries reported. Investigation ongoing by DGMS authorities."
DGMS-2017-056,2017-04-12,2017,4,Chhattisgarh,Dhanbad,CHH-Mine-92,Underground Coal,Explosion,Inadequate support,Minor,0,1,"Explosion incident at Iron Ore mine. Cause: Inadequate support. Location: Chhattisgarh, Singrauli. 1 injuries reported. Investigation ongoing by DGMS authorities."
DGMS-2017-055,2017-04-20,2017,4,Madhya Pradesh,Talcher,MAD-Mine-48,Opencast Coal,Electrical,Safety protocol violation,Minor,0,0,"Electrical incident at Underground Coal mine. Cause: Safety protocol violation. Location: Madhya Pradesh, Talcher. Investigation ongoing by DGMS authorities."
DGMS-2017-000,2017-04-25,2017,4,Odisha,Dhanbad,ODI-Mine-73,Underground Coal,Gas Emission,Poor ventilation,Serious,0,13,"Gas Emission incident at Opencast Coal mine. Cause: Poor ventilation. Location: Odisha, Sundergarh. 13 injuries reported. Investigation ongoing by DGMS authorities."
DGMS-2017-078,2017-05-03,2017,5,Assam,Ranchi,ASS-Mine-82,Manganese,Fire,Structural weakness,Fatal,2,5,"Fire incident at Iron Ore mine. Cause: Structural weakness. Location: Assam, Singrauli. 2 fatalities reported. 5 injuries reported. Investigation ongoing by DGMS authorities."
DGMS-2017-073,2017-05-04,2017,5,Chhattisgarh,Dhanbad,CHH-Mine-39,Iron Ore,Inundation,Weather conditions,Serious,0,2,"Inundation incident at Opencast Coal mine. Cause: Weather conditions. Location: Chhattisgarh, Asansol. 2 injuries reported. Investigation ongoing by DGMS authorities."
DGMS-2017-008,2017-05-07,2017,5,Jharkhand,Talcher,JHA-Mine-11,Iron Ore,Fall of Person,Weather conditions,Fatal,3,0,"Fall of Person incident at Underground Coal mine. Cause: Weather conditions. Location: Jharkhand, Korba. 3 fatalities reported. Investigation ongoing by DGMS authorities."
DGMS-2017-039,2017-05-27,2017,5,Assam,Dhanbad,ASS-Mine-16,Manganese,Gas Emission,Inadequate training,Serious,0,14,"Gas Emission incident at Manganese mine. Cause: Inadequate training. Location: Assam, Asansol. 14 injuries reported. Investigation ongoing by DGMS authorities."
DGMS-2017-063,2017-05-30,2017,5,West Bengal,Dhanbad,WES-Mine-36,Opencast Coal,Electrical,Inadequate support,Minor,0,1,"Electrical incident at Underground Coal mine. Cause: Inadequate support. Location: West Bengal, Sundergarh. 1 injuries reported. Investigation ongoing by DGMS authorities."
DGMS-2017-065,2017-06-01,2017,6,Madhya Pradesh,Asansol,MAD-Mine-53,Manganese,Machinery,Equipment failure,Minor,0,0,"Machinery incident at Manganese mine. Cause: Equipment failure. Location: Madhya Pradesh, Talcher. Investigation ongoing by DGMS authorities."
DGMS-2017-012,2017-06-04,2017,6,Jharkhand,Korba,JHA-Mine-26,Opencast Coal,Fall of Person,Weather conditions,Minor,0,0,"Fall of Person incident at Iron Ore mine. Cause: Weather conditions. Location: Jharkhand, Singrauli. Investigation ongoing by DGMS authorities."
DGMS-2017-049,2017-06-12,2017,6,Assam,Asansol,ASS-Mine-02,Underground Coal,Inundation,Methane buildup,Minor,0,1,"Inundation incident at Opencast Coal mine. Cause: Methane buildup. Location: Assam, Asansol. 1 injuries reported. Investigation ongoing by DGMS authorities."
DGMS-2017-061,2017-06-23,2017,6,Chhattisgarh,Asansol,CHH-Mine-84,Manganese,Machinery,Methane buildup,Fatal,5,7,"Machinery incident at Underground Coal mine. Cause: Methane buildup. Location: Chhattisgarh, Dhanbad. 5 fatalities reported. 7 injuries reported. Investigation ongoing by DGMS authorities."
DGMS-2017-095,2017-06-25,2017,6,Odisha,Korba,ODI-Mine-73,Underground Coal,Transport/Haulage,Equipment failure,Fatal,3,4,"Transport/Haulage incident at Limestone mine. Cause: Equipment failure. Location: Odisha, Ranchi. 3 fatalities reported. 4 injuries reported. Investigation ongoing by DGMS authorities."
DGMS-2017-014,2017-06-29,2017,6,Odisha,Korba,ODI-Mine-29,Opencast Coal,Electrical,Equipment failure,Serious,0,12,"Electrical incident at Underground Coal mine. Cause: Equipment failure. Location: Odisha, Asansol. 12 injuries reported. Investigation ongoing by DGMS authorities."
DGMS-2017-042,2017-07-04,2017,7,Assam,Singrauli,ASS-Mine-69,Limestone,Transport/Haulage,Safety protocol violation,Serious,0,14,"Transport/Haulage incident at Opencast Coal mine. Cause: Safety protocol violation. Location: Assam, Ranchi. 14 injuries reported. Investigation ongoing by DGMS authorities."
DGMS-2017-086,2017-07-16,2017,7,West Bengal,Ranchi,WES-Mine-93,Iron Ore,Explosion,Human error,Minor,0,0,"Explosion incident at Iron Ore mine. Cause: Human error. Location: West Bengal, Asansol. Investigation ongoing by DGMS authorities."
DGMS-2017-049,2017-07-23,2017,7,Odisha,Ranchi,ODI-Mine-15,Limestone,Explosion,Methane buildup,Minor,0,2,"Explosion incident at Underground Coal mine. Cause: Methane buildup. Location: Odisha, Korba. 2 injuries reported. Investigation ongoing by DGMS authorities."
DGMS-2017-000,2017-07-28,2017,7,Chhattisgarh,Ranchi,CHH-Mine-91,Underground Coal,Machinery,Inadequate support,Serious,0,10,"Machinery incident at Opencast Coal mine. Cause: Inadequate support. Location: Chhattisgarh, Sundergarh. 10 injuries reported. Investigation ongoing by DGMS authorities."
DGMS-2017-035,2017-07-28,2017,7,Odisha,Ranchi,ODI-Mine-70,Iron Ore,Collapse,Structural weakness,Minor,0,1,"Collapse incident at Underground Coal mine. Cause: Structural weakness. Location: Odisha, Korba. 1 injuries reported. Investigation ongoing by DGMS authorities."
DGMS-2017-058,2017-07-28,2017,7,Madhya Pradesh,Ranchi,MAD-Mine-95,Iron Ore,Inundation,Human error,Serious,0,5,"Inundation incident at Limestone mine. Cause: Human error. Location: Madhya Pradesh, Singrauli. 5 injuries reported. Investigation ongoing by DGMS authorities."
DGMS-2017-070,2017-07-29,2017,7,Jharkhand,Dhanbad,JHA-Mine-44,Limestone,Transport/Haulage,Poor ventilation,Serious,0,12,"Transport/Haulage incident at Limestone mine. Cause: Poor ventilation. Location: Jharkhand, Asansol. 12 injuries reported. Investigation ongoing by DGMS authorities."
DGMS-2017-040,2017-08-03,2017,8,West Bengal,Korba,WES-Mine-70,Opencast Coal,Roof/Side Fall,Poor ventilation,Minor,0,0,"Roof/Side Fall incident at Opencast Coal mine. Cause: Poor ventilation. Location: West Bengal, Asansol. Investigation ongoing by DGMS authorities."
DGMS-2017-068,2017-08-18,2017,8,Odisha,Singrauli,ODI-Mine-51,Iron Ore,Machinery,Safety protocol violation,Fatal,1,5,"Machinery incident at Underground Coal mine. Cause: Safety protocol violation. Location: Odisha, Sundergarh. 1 fatalities reported. 5 injuries reported. Investigation ongoing by DGMS authorities."
DGMS-2017-051,2017-09-02,2017,9,Madhya Pradesh,Korba,MAD-Mine-86,Manganese,Fire,Equipment malfunction,Fatal,3,7,"Fire incident at Limestone mine. Cause: Equipment malfunction. Location: Madhya Pradesh, Singrauli. 3 fatalities reported. 7 injuries reported. Investigation ongoing by DGMS authorities."
DGMS-2017-023,2017-09-15,2017,9,Odisha,Talcher,ODI-Mine-09,Underground Coal,Roof/Side Fall,Poor ventilation,Minor,0,0,"Roof/Side Fall incident at Manganese mine. Cause: Poor ventilation. Location: Odisha, Sundergarh. Investigation ongoing by DGMS authorities."
DGMS-2017-041,2017-09-29,2017,9,Chhattisgarh,Singrauli,CHH-Mine-41,Limestone,Roof/Side Fall,Inadequate training,Minor,0,1,"Roof/Side Fall incident at Underground Coal mine. Cause: Inadequate training. Location: Chhattisgarh, Korba. 1 injuries reported. Investigation ongoing by DGMS authorities."
DGMS-2017-015,2017-10-07,2017,10,West Bengal,Dhanbad,WES-Mine-26,Manganese,Gas Emission,Poor ventilation,Minor,0,1,"Gas Emission incident at Opencast Coal mine. Cause: Poor ventilation. Location: West Bengal, Asansol. 1 injuries reported. Investigation ongoing by DGMS authorities."
DGMS-2017-016,2017-10-10,2017,10,Chhattisgarh,Dhanbad,CHH-Mine-52,Underground Coal,Collapse,Inadequate training,Serious,0,1,"Collapse incident at Iron Ore mine. Cause: Inadequate training. Location: Chhattisgarh, Singrauli. 1 injuries reported. Investigation ongoing by DGMS authorities."
DGMS-2017-022,2017-10-13,2017,10,Assam,Talcher,ASS-Mine-17,Opencast Coal,Transport/Haulage,Inadequate support,Serious,0,2,"Transport/Haulage incident at Iron Ore mine. Cause: Inadequate support. Location: Assam, Ranchi. 2 injuries reported. Investigation ongoing by DGMS authorities."
DGMS-2017-075,2017-10-20,2017,10,Assam,Korba,ASS-Mine-29,Iron Ore,Electrical,Poor ventilation,Minor,0,0,"Electrical incident at Iron Ore mine. Cause: Poor ventilation. Location: Assam, Singrauli. Investigation ongoing by DGMS authorities."
DGMS-2017-002,2017-10-23,2017,10,Madhya Pradesh,Dhanbad,MAD-Mine-49,Limestone,Roof/Side Fall,Safety protocol violation,Serious,0,2,"Roof/Side Fall incident at Underground Coal mine. Cause: Safety protocol violation. Location: Madhya Pradesh, Korba. 2 injuries reported. Investigation ongoing by DGMS authorities."
DGMS-2017-082,2017-10-26,2017,10,Madhya Pradesh,Sundergarh,MAD-Mine-43,Manganese,Fire,Safety protocol violation,Serious,0,2,"Fire incident at Opencast Coal mine. Cause: Safety protocol violation. Location: Madhya Pradesh, Korba. 2 injuries reported. Investigation ongoing by DGMS authorities."
DGMS-2017-074,2017-11-12,2017,11,Assam,Ranchi,ASS-Mine-46,Opencast Coal,Roof/Side Fall,Poor ventilation,Serious,0,5,"Roof/Side Fall incident at Underground Coal mine. Cause: Poor ventilation. Location: Assam, Korba. 5 injuries reported. Investigation ongoing by DGMS authorities."
DGMS-2017-045,2017-11-20,2017,11,Assam,Talcher,ASS-Mine-48,Manganese,Inundation,Inadequate training,Serious,0,7,"Inundation incident at Iron Ore mine. Cause: Inadequate training. Location: Assam, Korba. 7 injuries reported. Investigation ongoing by DGMS authorities."
DGMS-2017-079,2017-12-01,2017,12,Chhattisgarh,Asansol,CHH-Mine-49,Opencast Coal,Fire,Methane buildup,Fatal,1,5,"Fire incident at Opencast Coal mine. Cause: Methane buildup. Location: Chhattisgarh, Talcher. 1 fatalities reported. 5 injuries reported. Investigation ongoing by DGMS authorities."
DGMS-2017-016,2017-12-02,2017,12,West Bengal,Korba,WES-Mine-26,Manganese,Machinery,Methane buildup,Minor,0,1,"Machinery incident at Iron Ore mine. Cause: Methane buildup. Location: West Bengal, Asansol. 1 injuries reported. Investigation ongoing by DGMS authorities."
DGMS-2017-040,2017-12-04,2017,12,Madhya Pradesh,Sundergarh,MAD-Mine-86,Underground Coal,Fall of Person,Equipment failure,Minor,0,1,"Fall of Person incident at Limestone mine. Cause: Equipment failure. Location: Madhya Pradesh, Ranchi. 1 injuries reported. Investigation ongoing by DGMS authorities."
DGMS-2017-045,2017-12-04,2017,12,Chhattisgarh,Dhanbad,CHH-Mine-06,Iron Ore,Fire,Safety protocol violation,Minor,0,2,"Fire incident at Manganese mine. Cause: Safety protocol violation. Location: Chhattisgarh, Sundergarh. 2 injuries reported. Investigation ongoing by DGMS authorities."
DGMS-2017-080,2017-12-11,2017,12,West Bengal,Sundergarh,WES-Mine-44,Opencast Coal,Gas Emission,Methane buildup,Minor,0,2,"Gas Emission incident at Underground Coal mine. Cause: Methane buildup. Location: West Bengal, Dhanbad. 2 injuries reported. Investigation ongoing by DGMS authorities."
DGMS-2017-066,2017-12-14,2017,12,Madhya Pradesh,Asansol,MAD-Mine-04,Underground Coal,Gas Emission,Methane buildup,Minor,0,0,"Gas Emission incident at Iron Ore mine. Cause: Methane buildup. Location: Madhya Pradesh, Asansol. Investigation ongoing by DGMS authorities."
